userid,Average Screen Time,Average Spent on App (INR),Left Review,Ratings,New Password Request,Last Visited Minutes,Status
1137,10,10,1,1,8,3452,Installed
1138,29,87,1,6,3,2308,Installed
1139,1,13,0,2,2,12629,Installed
1140,19,570,0,7,8,3105,Installed
1141,44,667,0,7,1,2276,Installed
1142,6,96,0,0,4,1742,Installed
1143,33,485,0,10,1,721,Installed
1144,39,740,0,9,6,3309,Installed
1145,9,27,1,4,7,823,Installed
1146,25,549,1,6,4,3312,Installed
1147,2,42,1,2,11,40603,Uninstalled
1148,40,219,0,8,5,1178,Installed
1149,43,550,1,9,1,4270,Installed
1150,16,861,1,8,1,3428,Installed
1151,1,95,1,2,10,31724,Uninstalled
1152,35,991,0,5,7,1547,Installed
1153,43,722,1,6,4,3163,Installed
1154,24,84,1,8,8,835,Installed
1155,7,12,1,3,5,4848,Installed
1156,17,153,0,6,2,4795,Installed
1157,49,90,1,9,2,2041,Installed
1158,17,799,1,5,3,3900,Installed
1159,3,83,0,0,8,25789,Uninstalled
1160,14,938,0,7,7,1261,Installed
1161,24,582,1,6,3,253,Installed
1162,41,96,1,7,7,3385,Installed
1163,44,431,1,8,1,2008,Installed
1164,14,402,1,8,6,3529,Installed
1165,22,629,0,6,1,360,Installed
1166,29,91,1,7,8,3241,Installed
1167,44,674,1,10,8,4975,Installed
1168,23,901,1,7,6,684,Installed
1169,14,196,0,7,8,2905,Installed
1170,46,151,1,5,4,2354,Installed
1171,37,564,0,7,8,4004,Installed
1172,33,493,1,6,4,2221,Installed
1173,12,71,1,10,5,3853,Installed
1174,3,46,0,2,14,24048,Uninstalled
1175,40,266,0,8,3,3559,Installed
1176,29,838,0,10,7,3737,Installed
1177,14,135,0,5,2,2687,Installed
1178,31,72,0,5,1,4566,Installed
1179,50,839,0,6,5,2351,Installed
1180,9,12,1,1,5,4818,Installed
1181,3,100,0,3,7,29465,Uninstalled
1182,4,37,1,3,5,43650,Uninstalled
1183,44,867,0,10,7,4299,Installed
1184,4,51,0,0,8,38744,Uninstalled
1185,45,375,0,5,8,873,Installed
1186,42,798,0,9,2,4624,Installed
1187,40,696,1,7,8,592,Installed
1188,35,894,0,8,3,1425,Installed
1189,17,522,0,8,6,437,Installed
1190,5,46,0,3,7,1791,Installed
1191,19,661,1,8,1,2640,Installed
1192,47,750,0,6,8,553,Installed
1193,20,101,0,9,7,1194,Installed
1194,13,73,0,9,3,1185,Installed
1195,13,316,1,5,8,1267,Installed
1196,30,482,1,9,5,617,Installed
1197,46,747,0,9,2,1751,Installed
1198,7,36,1,1,5,3735,Installed
1199,1,92,0,1,14,19379,Uninstalled
1200,48,634,1,7,5,4059,Installed
1201,29,990,1,8,6,1340,Installed
1202,18,212,0,5,1,4078,Installed
1203,8,33,0,3,1,2979,Installed
1204,37,987,0,10,6,1393,Installed
1205,28,892,0,7,3,1136,Installed
1206,25,489,1,10,5,2437,Installed
1207,2,69,1,0,7,15053,Uninstalled
1208,14,279,1,6,8,1306,Installed
1209,50,882,0,9,4,203,Installed
1210,29,721,1,7,5,4378,Installed
1211,31,674,1,7,7,3225,Installed
1212,24,809,0,10,4,2020,Installed
1213,0,93,0,4,15,38821,Uninstalled
1214,17,296,1,9,6,2263,Installed
1215,9,94,1,2,6,2608,Installed
1216,15,372,1,9,8,3642,Installed
1217,32,164,1,8,6,622,Installed
1218,14,146,1,9,5,769,Installed
1219,41,672,1,9,3,3850,Installed
1220,1,16,0,5,8,49715,Uninstalled
1221,15,205,0,5,2,3549,Installed
1222,26,150,1,9,2,3150,Installed
1223,12,836,0,5,8,1746,Installed
1224,18,701,1,6,2,2530,Installed
1225,14,616,1,9,7,2984,Installed
1226,11,378,1,10,8,3909,Installed
1227,35,998,0,6,3,2805,Installed
1228,3,10,1,4,8,23311,Uninstalled
1229,48,298,1,6,8,622,Installed
1230,24,344,1,8,4,1872,Installed
1231,32,496,1,7,7,3815,Installed
1232,43,399,1,8,4,407,Installed
1233,21,520,0,5,7,674,Installed
1234,7,19,1,1,1,4092,Installed
1235,5,0,1,1,6,1713,Installed
1236,32,491,0,6,1,4452,Installed
1237,50,974,1,9,7,3002,Installed
1238,19,865,0,9,3,2849,Installed
1239,14,662,0,5,3,1014,Installed
1240,41,250,0,5,8,2119,Installed
1241,26,485,0,9,5,3937,Installed
1242,15,506,0,10,1,3981,Installed
1243,37,534,0,7,1,413,Installed
1244,14,603,0,8,3,1559,Installed
1245,31,817,1,6,5,1072,Installed
1246,40,300,0,9,2,4896,Installed
1247,39,595,1,7,5,1254,Installed
1248,26,936,1,7,3,2373,Installed
1249,24,488,0,6,4,4692,Installed
1250,33,242,0,8,2,3265,Installed
1251,10,31,0,0,8,859,Installed
1252,24,392,0,9,4,1818,Installed
1253,33,333,0,9,3,3839,Installed
1254,18,328,1,9,1,242,Installed
1255,20,828,1,10,5,2268,Installed
1256,31,839,1,10,6,1027,Installed
1257,4,17,0,5,5,24656,Uninstalled
1258,49,188,1,10,1,1008,Installed
1259,39,405,0,8,1,1523,Installed
1260,24,634,0,7,4,3562,Installed
1261,25,715,1,7,3,2310,Installed
1262,21,598,1,7,3,4136,Installed
1263,36,755,1,9,7,1391,Installed
1264,32,138,0,7,5,2432,Installed
1265,3,77,0,0,5,18701,Uninstalled
1266,23,310,1,9,7,991,Installed
1267,25,477,0,8,6,3295,Installed
1268,4,91,1,2,15,36469,Uninstalled
1269,15,252,1,10,8,1324,Installed
1270,26,385,0,9,5,4941,Installed
1271,35,217,1,7,4,2463,Installed
1272,14,81,1,9,1,4230,Installed
1273,43,429,0,7,8,2769,Installed
1274,16,254,1,10,3,1754,Installed
1275,9,80,0,5,3,1828,Installed
1276,15,361,1,6,2,4539,Installed
1277,7,8,1,5,2,3001,Installed
1278,12,863,0,10,8,4269,Installed
1279,36,270,0,9,6,1728,Installed
1280,18,813,0,9,7,1459,Installed
1281,14,826,1,8,5,1776,Installed
1282,24,511,0,6,2,2284,Installed
1283,8,9,1,4,6,2119,Installed
1284,28,860,1,6,4,2833,Installed
1285,30,226,1,9,4,3766,Installed
1286,46,135,1,10,7,1042,Installed
1287,30,416,0,5,4,2998,Installed
1288,30,463,0,9,3,4154,Installed
1289,49,877,1,7,2,873,Installed
1290,17,360,0,10,5,2641,Installed
1291,32,830,1,9,6,3919,Installed
1292,0,32,1,4,13,21352,Uninstalled
1293,22,909,0,10,8,942,Installed
1294,42,63,1,7,7,220,Installed
1295,36,300,1,9,6,3144,Installed
1296,34,285,1,7,6,673,Installed
1297,37,837,0,6,6,4166,Installed
1298,23,320,1,7,4,4058,Installed
1299,31,621,0,5,1,479,Installed
1300,14,152,0,9,7,1769,Installed
1301,26,486,1,7,6,1256,Installed
1302,19,401,1,6,6,3299,Installed
1303,5,79,0,2,6,5099,Installed
1304,0,95,0,0,6,17126,Uninstalled
1305,33,778,1,9,4,1526,Installed
1306,11,923,1,10,5,4629,Installed
1307,4,38,0,0,2,5843,Installed
1308,31,95,0,10,7,272,Installed
1309,33,990,0,10,4,828,Installed
1310,49,679,0,10,7,1312,Installed
1311,33,617,1,7,3,3933,Installed
1312,22,994,0,10,5,4074,Installed
1313,25,519,0,7,5,4906,Installed
1314,9,25,0,2,7,2294,Installed
1315,17,396,0,9,4,4180,Installed
1316,47,226,1,10,1,3556,Installed
1317,18,993,0,8,2,3438,Installed
1318,44,107,0,6,2,1845,Installed
1319,40,869,1,6,1,4340,Installed
1320,23,60,1,6,1,614,Installed
1321,25,749,1,10,1,3127,Installed
1322,25,863,0,5,6,3663,Installed
1323,24,158,1,8,5,4578,Installed
1324,39,424,1,5,6,931,Installed
1325,25,984,1,7,6,1008,Installed
1326,6,20,1,1,7,2780,Installed
1327,42,988,0,8,4,1976,Installed
1328,2,39,0,1,15,45339,Uninstalled
1329,46,560,1,9,4,4557,Installed
1330,36,721,1,6,3,4769,Installed
1331,21,261,0,7,8,450,Installed
1332,0,100,1,5,3,13777,Installed
1333,29,492,1,8,8,4684,Installed
1334,11,222,0,8,5,4297,Installed
1335,17,788,0,7,1,4344,Installed
1336,1,31,0,4,11,47187,Uninstalled
1337,37,175,1,8,2,2190,Installed
1338,35,198,1,5,4,2290,Installed
1339,15,481,1,9,5,542,Installed
1340,18,863,1,5,6,1764,Installed
1341,49,580,0,8,8,4885,Installed
1342,24,216,0,10,1,3049,Installed
1343,12,69,0,8,5,2628,Installed
1344,15,807,0,5,1,4024,Installed
1345,26,739,0,8,5,4155,Installed
1346,27,704,1,9,1,3756,Installed
1347,24,357,1,7,2,640,Installed
1348,39,614,1,10,1,3173,Installed
1349,6,87,1,4,4,3890,Installed
1350,33,559,0,9,4,4818,Installed
1351,43,660,0,8,1,252,Installed
1352,49,623,0,8,1,4047,Installed
1353,5,93,0,4,10,49696,Uninstalled
1354,44,350,1,10,5,1642,Installed
1355,0,42,0,5,14,22099,Uninstalled
1356,35,936,0,7,6,4705,Installed
1357,5,47,0,0,8,16523,Uninstalled
1358,1,28,1,2,11,19278,Uninstalled
1359,34,841,0,5,3,1115,Installed
1360,32,89,0,7,3,2953,Installed
1361,43,833,0,9,1,4551,Installed
1362,32,763,0,9,1,2295,Installed
1363,16,68,0,5,7,426,Installed
1364,45,330,0,8,5,1022,Installed
1365,25,159,0,7,7,4502,Installed
1366,24,340,1,10,6,2555,Installed
1367,46,832,0,6,7,577,Installed
1368,28,992,0,5,6,2163,Installed
1369,30,849,1,8,5,714,Installed
1370,26,742,0,6,7,4988,Installed
1371,8,73,1,1,4,3300,Installed
1372,33,190,1,5,2,789,Installed
1373,35,928,1,8,3,862,Installed
1374,12,718,0,9,1,1744,Installed
1375,49,238,1,8,6,4270,Installed
1376,34,736,0,10,6,4581,Installed
1377,20,992,1,7,5,2166,Installed
1378,18,165,0,10,1,430,Installed
1379,4,25,0,3,8,39153,Uninstalled
1380,7,75,0,5,7,697,Installed
1381,14,326,0,10,4,1944,Installed
1382,41,173,0,10,4,4647,Installed
1383,11,930,1,8,6,4989,Installed
1384,15,349,0,5,2,2546,Installed
1385,41,152,1,10,8,4526,Installed
1386,22,719,0,10,4,1658,Installed
1387,21,597,1,6,3,2828,Installed
1388,18,286,0,7,7,400,Installed
1389,35,754,1,8,5,1790,Installed
1390,34,88,1,9,4,2901,Installed
1391,4,50,0,0,11,27125,Uninstalled
1392,16,768,1,6,4,2942,Installed
1393,18,158,1,10,8,2768,Installed
1394,19,729,0,9,3,1414,Installed
1395,0,97,0,3,9,37826,Uninstalled
1396,3,37,0,1,1,6641,Installed
1397,30,900,1,10,3,4080,Installed
1398,13,188,1,7,1,1791,Installed
1399,2,89,0,4,6,6207,Installed
1400,50,70,0,5,1,3670,Installed
1401,13,536,1,7,8,4247,Installed
1402,50,609,0,8,7,935,Installed
1403,23,796,0,6,4,2983,Installed
1404,34,95,1,9,6,969,Installed
1405,36,871,1,8,2,3179,Installed
1406,4,58,1,0,11,32302,Uninstalled
1407,7,10,1,2,6,1857,Installed
1408,41,733,1,10,8,4911,Installed
1409,34,608,1,9,7,2865,Installed
1410,20,506,1,6,8,1883,Installed
1411,31,977,0,6,3,1135,Installed
1412,35,761,0,7,3,1949,Installed
1413,41,708,1,8,2,680,Installed
1414,37,534,0,7,5,395,Installed
1415,8,71,0,1,5,4244,Installed
1416,2,9,1,3,2,5048,Installed
1417,8,4,1,2,1,967,Installed
1418,12,502,1,7,6,3111,Installed
1419,22,614,1,5,5,4067,Installed
1420,20,473,1,5,5,4950,Installed
1421,10,67,1,4,6,586,Installed
1422,40,254,0,9,3,1586,Installed
1423,18,558,1,6,8,2716,Installed
1424,31,513,0,5,3,2310,Installed
1425,39,80,0,7,5,3519,Installed
1426,44,621,1,8,2,2005,Installed
1427,34,902,1,5,1,572,Installed
1428,50,411,0,6,6,857,Installed
1429,9,63,0,0,2,4324,Installed
1430,13,889,1,10,3,3279,Installed
1431,40,347,0,9,1,2006,Installed
1432,44,546,1,10,6,222,Installed
1433,17,810,0,8,8,1541,Installed
1434,29,68,0,8,5,1316,Installed
1435,33,783,0,6,4,4893,Installed
1436,7,9,1,4,7,4060,Installed
1437,36,603,1,6,8,3949,Installed
1438,17,633,1,7,1,3840,Installed
1439,5,15,1,2,6,37453,Uninstalled
1440,10,65,0,2,6,2102,Installed
1441,30,481,1,5,6,1376,Installed
1442,29,93,0,5,1,4389,Installed
1443,29,568,1,8,4,2123,Installed
1444,33,423,0,7,1,3737,Installed
1445,47,319,0,5,5,1902,Installed
1446,35,434,1,10,1,3761,Installed
1447,45,75,0,5,7,3489,Installed
1448,19,786,0,5,6,4602,Installed
1449,23,551,1,9,5,3935,Installed
1450,7,85,1,0,6,2120,Installed
1451,33,486,0,6,4,1049,Installed
1452,49,267,0,7,1,4198,Installed
1453,41,566,1,5,6,507,Installed
1454,16,150,1,10,8,906,Installed
1455,30,623,1,7,2,650,Installed
1456,24,219,0,6,5,1842,Installed
1457,17,379,0,8,6,2521,Installed
1458,6,97,0,1,8,4164,Installed
1459,18,375,1,6,4,1668,Installed
1460,23,647,1,9,6,679,Installed
1461,8,44,0,3,1,1552,Installed
1462,41,635,0,6,6,301,Installed
1463,25,241,1,10,4,2932,Installed
1464,20,858,0,5,7,3131,Installed
1465,22,435,1,6,4,1778,Installed
1466,39,102,1,8,1,4891,Installed
1467,21,305,1,7,5,2681,Installed
1468,42,212,0,8,2,2220,Installed
1469,4,75,1,4,7,47412,Uninstalled
1470,35,805,0,6,1,1597,Installed
1471,42,693,1,6,5,1416,Installed
1472,22,981,0,5,1,3999,Installed
1473,25,275,1,8,6,3942,Installed
1474,20,460,1,7,3,1434,Installed
1475,11,273,0,9,4,2603,Installed
1476,0,66,0,0,10,31950,Uninstalled
1477,5,17,0,5,15,45979,Uninstalled
1478,50,886,1,9,6,524,Installed
1479,17,478,1,8,1,721,Installed
1480,29,368,1,9,3,4812,Installed
1481,11,510,0,5,6,952,Installed
1482,39,368,0,9,7,4734,Installed
1483,9,14,1,2,5,2188,Installed
1484,25,970,1,10,4,3392,Installed
1485,45,284,1,10,1,949,Installed
1486,8,39,1,4,3,3457,Installed
1487,13,125,1,10,6,1919,Installed
1488,13,619,1,10,7,4346,Installed
1489,31,207,1,7,7,2620,Installed
1490,42,83,1,7,4,4897,Installed
1491,36,633,0,5,1,2601,Installed
1492,0,21,1,5,15,38457,Uninstalled
1493,15,64,1,9,7,956,Installed
1494,16,767,1,8,5,2602,Installed
1495,28,75,0,9,7,500,Installed
1496,46,53,1,7,1,2569,Installed
1497,34,366,1,5,1,2581,Installed
1498,9,15,1,1,2,2196,Installed
1499,13,479,1,5,2,4646,Installed
1500,29,726,1,10,7,302,Installed
1501,2,81,0,4,10,15060,Uninstalled
1502,2,25,0,2,13,45265,Uninstalled
1503,29,567,1,10,7,466,Installed
1504,26,819,1,10,5,4826,Installed
1505,19,636,0,5,5,1038,Installed
1506,33,829,0,6,1,226,Installed
1507,16,748,0,8,8,1085,Installed
1508,49,498,0,10,5,3756,Installed
1509,8,72,1,0,7,4645,Installed
1510,23,859,1,10,1,4409,Installed
1511,41,833,0,10,4,3604,Installed
1512,40,482,1,6,6,1655,Installed
1513,45,402,1,5,4,2847,Installed
1514,42,589,1,7,5,2934,Installed
1515,23,880,0,7,1,3340,Installed
1516,39,61,0,5,6,2057,Installed
1517,16,669,0,9,4,3067,Installed
1518,11,224,1,7,4,927,Installed
1519,11,845,1,10,1,1420,Installed
1520,4,44,1,3,7,3785,Installed
1521,16,415,0,10,1,1904,Installed
1522,6,7,1,5,7,835,Installed
1523,43,187,1,7,3,1030,Installed
1524,22,876,0,9,5,760,Installed
1525,19,79,1,9,1,2468,Installed
1526,37,678,0,8,6,4446,Installed
1527,14,530,0,6,7,3209,Installed
1528,41,319,1,7,6,4105,Installed
1529,28,427,1,6,8,2431,Installed
1530,49,161,0,10,2,4957,Installed
1531,29,516,0,9,6,3626,Installed
1532,19,168,0,8,8,926,Installed
1533,48,504,0,7,8,4643,Installed
1534,30,465,1,10,6,1275,Installed
1535,1,13,1,2,6,4097,Installed
1536,4,2,1,4,3,3238,Installed
1537,47,885,1,5,3,4096,Installed
1538,19,474,0,7,7,995,Installed
1539,5,62,1,3,9,26282,Uninstalled
1540,33,703,0,9,3,2552,Installed
1541,37,155,0,9,5,398,Installed
1542,7,85,0,5,6,1732,Installed
1543,9,26,1,2,5,4605,Installed
1544,49,321,1,10,5,4470,Installed
1545,41,813,1,7,3,3962,Installed
1546,30,355,1,9,4,4637,Installed
1547,20,690,0,7,6,1497,Installed
1548,5,25,0,2,15,36478,Uninstalled
1549,45,331,0,9,1,1349,Installed
1550,33,441,0,9,2,3052,Installed
1551,35,338,1,9,7,2231,Installed
1552,20,701,0,8,3,3754,Installed
1553,18,411,1,7,5,2222,Installed
1554,33,970,0,5,8,1735,Installed
1555,24,120,1,6,7,1162,Installed
1556,36,187,1,9,3,4754,Installed
1557,41,927,0,10,2,2230,Installed
1558,24,564,0,9,5,1869,Installed
1559,7,71,0,4,6,1981,Installed
1560,34,239,1,6,4,4025,Installed
1561,2,99,0,3,6,46826,Uninstalled
1562,21,307,1,6,8,4686,Installed
1563,43,236,1,5,3,888,Installed
1564,40,511,1,6,5,356,Installed
1565,1,59,0,0,9,16381,Uninstalled
1566,18,638,1,8,8,204,Installed
1567,19,537,0,10,1,4660,Installed
1568,14,836,1,5,8,4662,Installed
1569,29,743,0,6,6,1809,Installed
1570,49,371,1,10,7,1498,Installed
1571,34,90,1,7,6,4877,Installed
1572,5,36,1,3,7,37474,Uninstalled
1573,0,26,1,5,14,44275,Uninstalled
1574,18,91,0,10,6,2864,Installed
1575,6,40,0,5,3,540,Installed
1576,7,48,0,1,1,2629,Installed
1577,19,467,1,5,7,1176,Installed
1578,30,831,1,10,7,2502,Installed
1579,33,164,1,5,5,4877,Installed
1580,45,936,0,8,4,2568,Installed
1581,8,29,1,1,8,379,Installed
1582,21,379,1,9,4,568,Installed
1583,42,786,1,9,4,1851,Installed
1584,35,194,0,7,4,427,Installed
1585,2,96,0,0,5,44883,Uninstalled
1586,50,170,0,9,7,1981,Installed
1587,20,128,1,9,8,4937,Installed
1588,47,744,0,7,6,3496,Installed
1589,24,850,1,10,3,4863,Installed
1590,26,607,0,5,8,1536,Installed
1591,8,45,1,5,4,4716,Installed
1592,30,644,0,9,4,4272,Installed
1593,46,107,0,10,3,3609,Installed
1594,44,887,1,6,8,4488,Installed
1595,6,93,1,4,2,2423,Installed
1596,28,503,0,9,7,4789,Installed
1597,6,9,1,1,8,4266,Installed
1598,37,571,0,10,2,2646,Installed
1599,1,84,0,2,15,15915,Uninstalled
1600,27,424,0,5,4,4706,Installed
1601,46,404,1,8,7,4065,Installed
1602,35,329,0,9,5,2725,Installed
1603,21,751,1,7,7,3769,Installed
1604,19,269,1,9,6,3854,Installed
1605,25,894,0,7,7,3600,Installed
1606,42,520,0,5,1,3678,Installed
1607,36,865,0,7,4,3723,Installed
1608,43,518,0,8,8,273,Installed
1609,31,161,1,8,6,4524,Installed
1610,37,328,0,5,5,1533,Installed
1611,19,410,0,7,7,1014,Installed
1612,23,735,0,8,1,774,Installed
1613,18,539,0,6,4,4007,Installed
1614,5,46,0,1,8,12920,Installed
1615,8,96,0,3,8,3644,Installed
1616,33,419,1,9,7,1267,Installed
1617,34,578,1,7,4,454,Installed
1618,1,56,0,4,7,12163,Installed
1619,7,48,0,5,2,4426,Installed
1620,40,151,1,10,4,2457,Installed
1621,34,894,0,5,8,3328,Installed
1622,35,394,0,7,6,1994,Installed
1623,37,877,0,7,2,4821,Installed
1624,39,249,1,8,1,4568,Installed
1625,14,459,1,7,6,355,Installed
1626,41,837,0,6,3,4069,Installed
1627,39,726,1,6,3,2036,Installed
1628,24,597,0,8,1,4626,Installed
1629,45,395,0,5,3,3713,Installed
1630,22,459,1,6,6,1203,Installed
1631,9,6,1,2,7,1871,Installed
1632,41,904,0,7,4,3805,Installed
1633,19,841,0,6,2,646,Installed
1634,17,167,0,5,8,1403,Installed
1635,47,228,0,6,8,1409,Installed
1636,5,49,0,2,5,20344,Uninstalled
1637,22,847,1,7,5,1839,Installed
1638,8,68,1,3,3,1005,Installed
1639,16,78,0,5,5,1494,Installed
1640,48,125,0,6,8,4241,Installed
1641,40,275,0,10,2,1006,Installed
1642,21,768,1,9,7,4688,Installed
1643,45,499,0,6,3,2859,Installed
1644,47,64,0,8,4,2128,Installed
1645,33,970,1,5,4,910,Installed
1646,45,516,0,9,4,654,Installed
1647,32,800,1,5,8,681,Installed
1648,19,756,0,7,7,3415,Installed
1649,15,688,1,10,6,3923,Installed
1650,47,280,0,10,8,2633,Installed
1651,43,580,0,10,3,4222,Installed
1652,0,42,1,3,15,24600,Uninstalled
1653,29,610,0,8,8,3199,Installed
1654,17,484,1,6,7,4926,Installed
1655,19,369,0,7,7,3759,Installed
1656,21,79,0,8,5,547,Installed
1657,27,284,0,9,4,1024,Installed
1658,12,555,0,6,1,337,Installed
1659,22,714,0,8,3,4041,Installed
1660,31,517,1,10,4,2755,Installed
1661,8,73,0,4,4,706,Installed
1662,35,170,0,6,8,3317,Installed
1663,0,88,0,1,9,24796,Uninstalled
1664,50,719,0,8,3,2944,Installed
1665,6,52,0,0,2,2764,Installed
1666,10,13,1,2,2,2900,Installed
1667,49,155,1,8,6,4825,Installed
1668,8,77,1,2,6,2842,Installed
1669,1,75,1,5,11,18485,Uninstalled
1670,31,311,1,6,8,4496,Installed
1671,27,85,1,8,6,3376,Installed
1672,28,155,0,6,1,3595,Installed
1673,18,423,0,10,3,1214,Installed
1674,8,7,1,2,4,4477,Installed
1675,46,819,0,7,1,4859,Installed
1676,30,533,1,10,2,2743,Installed
1677,33,523,1,5,1,4171,Installed
1678,45,797,1,6,6,298,Installed
1679,31,508,1,6,8,3984,Installed
1680,48,729,0,7,8,1407,Installed
1681,36,600,0,7,6,1763,Installed
1682,6,75,1,2,8,1703,Installed
1683,22,180,1,8,8,1830,Installed
1684,16,618,1,9,8,2721,Installed
1685,32,647,0,5,2,4928,Installed
1686,6,37,1,3,8,3606,Installed
1687,6,55,0,0,1,1193,Installed
1688,45,528,1,10,7,2287,Installed
1689,18,779,0,8,8,1454,Installed
1690,16,167,1,6,3,3608,Installed
1691,11,772,0,10,5,3947,Installed
